Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",170.250000,-117.750000,270.000000,top
"C2","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",151.250000,-117.500000,90.000000,top
"C3","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",161.000000,-119.500000,270.000000,top
"C4","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",150.750000,-111.250000,90.000000,top
"C5","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",158.750000,-103.000000,90.000000,top
"C6","4,7uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",167.250000,-119.000000,270.000000,top
"C7","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",155.500000,-107.250000,180.000000,top
"C8","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",174.500000,-100.500000,0.000000,top
"C9","10uF","CP_Elec_4x5.4",155.000000,-73.750000,270.000000,top
"C10","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",173.500000,-105.750000,0.000000,top
"C11","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",160.000000,-73.750000,270.000000,top
"C12","4.7uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",174.362500,-98.500000,0.000000,top
"C13","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",170.500000,-79.750000,270.000000,top
"C14","100uF","CP_Elec_6.3x5.4",173.500000,-73.750000,90.000000,top
"C15","10nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",155.250000,-112.000000,180.000000,top
"C17","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",177.500000,-82.500000,90.000000,top
"C18","100uF","CP_Elec_6.3x5.4",182.000000,-85.750000,0.000000,top
"Q1","IRLML9301","SOT-23",145.000000,-70.750000,180.000000,top
"Q2","IRLML9301","SOT-23",150.000000,-70.750000,0.000000,top
"R1","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",145.000000,-74.250000,180.000000,top
"R2","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",145.000000,-67.000000,180.000000,top
"R3","100k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",148.250000,-111.250000,270.000000,top
"R4","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",149.500000,-67.000000,0.000000,top
"R5","100k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",148.750000,-117.500000,270.000000,top
"R6","330","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",193.000000,-70.500000,0.000000,top
"R7","330","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",147.500000,-103.000000,0.000000,top
"SW1","SW_Push","TactSwitchSMD",142.250000,-110.250000,0.000000,top
"SW3","SW_Push","TactSwitchSMD",142.500000,-117.500000,0.000000,top
"U1","LM1117-5.0","SOT-223-3_TabPin2",165.250000,-76.250000,270.000000,top
"U2","LM1117-3.3","SOT-223-3_TabPin2",182.000000,-76.750000,270.000000,top
"U3","STM32F401RCTx","LQFP-64_10x10mm_P0.5mm",164.475001,-110.475001,0.000000,top
